customer_id,name,birth_date,last_purchase_date,phone_num,num_of_product,total_amount,loyalty_program
0a0754dd-d8fc-4e58-844d-3298d2590703,Olivia Torres,1979-04-13,2022-05-06,0698658976,10,9000000,no
93d26aa0-9242-4929-b2e8-d5d736de31d1,Lucas Smith,1980-10-17,2013-07-28,0879257576,10,4000000,no
0cfd41a4-d278-4d93-9109-449e328e08e3,Emily Williams,1969-05-15,2020-06-20,0867195091,12,10000000,no
bccbafcc-c344-4e92-9e05-f1a1ba9ce0ca,Olivia Taylor,1976-09-03,2016-12-05,0631621213,4,6000000,no
2b02ff56-66c7-48b9-9dc1-e85802cbf5c8,Grace Brown,1984-11-20,2011-03-02,0885860116,1,2000000,yes
b643ca8a-3e79-4c52-9870-15dcad7f7c73,Grace Taylor,1973-10-24,2013-11-27,0637688254,3,4000000,no
8d0301c7-631d-42b2-9213-6a8a5b86ef9a,Emily Williams,1960-03-02,2018-04-25,0824484039,8,14000000,no
8b2d5743-8d4e-4555-b0cc-ee1ee756987b,Sophie Torres,1971-01-13,2015-06-07,0689961714,9,2000000,no
05454f3c-70ca-4a3f-9253-b5a293719087,Jordan Sinclair,1967-06-12,2012-04-18,0615641201,10,7000000,no
44526394-89d8-4e30-9f82-d20644b1b656,Maya Brown,1978-05-22,2023-02-27,0673527344,12,10000000,no
ed160b5b-e7aa-4b19-8ef7-dd1dcdee2867,Lucas Brown,1968-11-30,2015-05-26,0854225799,8,6000000,no
73f6323c-44e5-4a85-9d68-02fc311e0c32,Sophie Torres,1966-08-05,2024-02-08,0887659817,10,4000000,yes
1ca6a58a-0620-4534-9b14-496547b139dd,Grace Bennett,1974-10-27,2013-03-26,0851728577,4,3000000,no
6f6ab633-3b01-45ae-86d8-60c1d91f723f,Evan Taylor,1967-08-05,2021-03-21,0642859662,14,17000000,yes
ca0f669a-a9ec-4fd6-ae16-291224338d18,Jordan Johnson,1962-03-13,2014-06-27,0603312401,5,7000000,no
ae313888-daaa-405e-ae73-20cc286fdab8,Emily Palmer,1988-07-03,2018-06-25,0606857728,15,15000000,no
7143594e-417c-4a64-b956-b144b71f1972,Lucas Torres,1969-04-07,2010-01-08,0612820982,6,2000000,no
19b07f98-1188-48ea-81e2-61c88b7b3014,Jordan Palmer,1992-10-02,2016-08-16,0847000862,4,4000000,no
624d1fe4-f53d-45e6-9c74-a6200130cc41,Sophie Smith,1984-09-24,2014-11-20,0636345122,3,6000000,no
eb6a37e8-1204-4293-a1b5-ff19ad41d002,Olivia Bennett,1972-03-05,2018-11-07,0675448358,7,17000000,no
8b98fc9d-5068-492b-9b39-5c6ba9836177,Evan Hayes,1970-12-20,2019-10-18,0639068306,9,15000000,yes
ec00e39f-bff4-40e1-93fe-83ea43e262dc,Nathan Smith,1979-05-19,2015-02-16,0854287121,9,6000000,no
d4ccc213-5d83-4da0-911e-41dc8d31235b,Emily Williams,1971-08-14,2013-07-19,0841209569,3,2000000,yes
ea585adf-0be0-4c99-88d5-873dd9692ca6,Maya Taylor,1992-08-23,2019-01-06,0639087873,13,11000000,no
71f64409-f654-4779-8609-ad220f3800de,Liam Sinclair,1983-09-28,2013-07-23,0664290236,4,1000000,yes
b71dd325-093d-4502-b20f-4f601f646c72,Grace Bennett,1974-05-02,2020-01-04,0643024998,14,17000000,no
4b2d70b8-edf4-4cfe-b7ae-85d3b6665b1b,Sophie Bennett,1961-02-28,2018-11-02,0686875015,3,8000000,yes
15ae1af7-459b-45e7-b45d-1fabeaceba74,Sophie Bennett,1987-09-16,2010-09-03,0630478680,1,5000000,no
853d2783-1938-4bc3-a8db-77c41facec0a,Maya Williams,1961-03-06,2022-04-12,0627294670,2,11000000,no
da8bc3d0-ab5c-4145-97e1-824f42b36f39,Lucas Hayes,1963-12-20,2019-11-02,0698279799,13,8000000,no
fe9cbf2b-0a6e-4693-a535-a0987f64caf9,Olivia Johnson,1985-01-29,2021-11-09,0670007638,3,3000000,yes
abc90cd8-0fca-43ba-b771-283da0023972,Grace Palmer,1972-10-29,2018-08-07,0865473449,9,10000000,yes
c1be6e78-ac71-4b78-b95e-c0f5dcc40c2e,Liam Sinclair,1965-07-03,2010-04-30,0840032744,1,3000000,no
09b9a55c-b373-4252-a8ba-1e74aaac450c,Jordan Johnson,1989-12-29,2023-12-20,0860399309,8,20000000,no
b7dec161-4475-41d4-9340-99943f650521,Jordan Bennett,1975-08-19,2023-10-11,0648946373,11,10000000,no
19a80fc1-60bf-465e-9b9b-bf988197f513,Evan Williams,1983-10-20,2018-10-28,0691367714,3,12000000,no
50da2ad8-266a-4a4c-ae2b-f493a04f55d7,Olivia Bennett,1983-06-04,2012-08-11,0855063562,2,2000000,yes
631c50f9-648a-4d79-b676-dff3203663bf,Jordan Palmer,1966-05-26,2023-12-16,0666016200,12,11000000,no
80f73679-53aa-4438-9136-470f0b69fda5,Liam Hayes,1964-02-24,2023-11-30,0600820254,8,10000000,yes
59267685-8431-446f-bbdd-ee7fb1645d41,Grace Smith,1972-10-18,2015-08-10,0667085761,8,8000000,no
2d54c793-135f-4aed-9a36-7baaf6887a0e,Sophie Johnson,1976-01-21,2018-04-10,0853853068,12,5000000,yes
7f566366-84be-4ee4-b8c0-8a649220d6cc,Jordan Bennett,1990-06-11,2014-02-05,0856498571,2,7000000,no
5e504c4f-fde5-4a68-8dcf-752c77d643f8,Liam Sinclair,1986-05-28,2020-02-23,0623052011,4,9000000,no
457452ef-4111-4213-82dd-621a3f881a9e,Olivia Williams,1960-10-28,2011-04-19,0615511068,8,8000000,no
700bd74e-dd2c-4404-9573-f0db9e12b871,Lucas Taylor,1988-02-19,2013-09-16,0858512423,10,1000000,no
bb034b07-2268-493d-b1f9-13c38cfac6a0,Lucas Torres,1960-07-21,2016-04-19,0691882768,2,9000000,no
dd7d4ccd-198e-4768-b086-d668d296a14b,Emily Palmer,1987-04-02,2024-03-01,0685712845,4,9000000,no
abea53b0-8290-4b0d-86b8-1281c18c6fab,Olivia Palmer,1979-04-29,2011-05-08,0640496719,2,10000000,no
638abd19-fa58-4838-8ed2-f4976f14a367,Liam Williams,1977-04-07,2010-12-16,0896885765,2,7000000,no
554656d9-3e1b-4a8e-a07b-6aa09c459f35,Evan Bennett,1981-11-19,2011-06-11,0680564105,7,6000000,no
e3913117-4b0f-4a65-b853-59c9680ec048,Nathan Johnson,1982-07-28,2010-06-26,0684542517,9,5000000,no
2d733ecf-1b25-4d56-8715-85df30db54bf,Lucas Palmer,1976-01-31,2022-03-10,0656305005,12,12000000,no
3a4c9693-84ad-4f8a-bd8b-5cd3aac22627,Olivia Hayes,1969-12-19,2024-08-28,0630552173,9,11000000,no
8373ae94-3d27-4f59-af03-54ec41aa8460,Jordan Hayes,1967-04-15,2018-10-04,0824887442,13,10000000,no
e3efef42-6cba-41c2-8ac9-35219c07ec9a,Grace Taylor,1991-05-03,2013-01-12,0674969794,4,8000000,no
6d39f5c0-9f97-46d8-8b71-8e4e45ebdb09,Sophie Johnson,1970-08-15,2020-02-04,0830403339,15,9000000,no
90b75a25-49c7-4557-84fc-3e1cdacca430,Liam Taylor,1984-09-13,2015-07-17,0845136600,1,8000000,no
eeac9892-539e-4a5e-a483-35ae6145ec26,Lucas Taylor,1974-05-12,2019-09-28,0823077817,14,9000000,no
a98f1aee-a740-40ae-8efa-99cf8cfc6395,Lucas Taylor,1966-07-03,2011-05-07,0654196646,2,1000000,no
3aa64afe-573a-475b-b712-4018d87a799b,Jordan Hayes,1987-09-17,2023-10-21,0803853803,4,14000000,yes
6078318f-25b7-4616-92a1-ea948f768b02,Olivia Hayes,1973-05-04,2017-08-03,0609149481,2,4000000,no
1bee8643-8b14-4b15-9462-c300be1a61d1,Maya Sinclair,1973-08-25,2019-02-08,0683883891,16,17000000,no
4de6e8b5-b894-4f40-87a4-15bf4af54d87,Liam Sinclair,1962-03-06,2013-02-11,0652179230,4,7000000,no
eae479e0-d875-4778-9a53-7d3a78a8fe00,Grace Williams,1968-10-03,2012-05-11,0875802090,4,6000000,no
10c51f5a-5b64-4e77-b495-66faf259625d,Sophie Sinclair,1978-12-28,2021-10-13,0640690586,12,5000000,no
5183cbe5-20b9-4f18-a48e-c34ebd927b5d,Liam Johnson,1971-06-16,2014-02-28,0830393669,1,9000000,no
b9c0835d-b6cb-4b24-afc2-332f8c17fbd3,Jordan Johnson,1969-12-20,2011-05-04,0884165261,4,5000000,yes
5bb4d0ca-bad1-4495-b1da-98d34e25477d,Nathan Brown,1989-01-24,2015-08-08,0863928999,3,9000000,no
da03548b-5861-4be5-a486-225a5bd0e8d8,Nathan Sinclair,1978-06-09,2017-04-24,0829189113,1,10000000,no
d35b2ad4-468e-4e55-b6e1-460ca3f482f2,Lucas Torres,1983-05-11,2015-01-12,0836765385,6,2000000,no
806fad42-1d95-4c2a-9629-88551f3b7e8e,Liam Torres,1992-09-04,2012-03-12,0606339528,8,8000000,no
c3f2502e-31d1-4f7d-9073-e7d11c90ae10,Maya Williams,1978-05-07,2011-03-07,0646770596,1,2000000,yes
ffa5b9c0-f6a1-49d6-8363-138314b2b3d3,Nathan Hayes,1960-10-25,2011-06-13,0850415697,2,6000000,no
fbb9328c-ca83-46e6-ab39-78e6550683d3,Sophie Taylor,1989-12-03,2016-05-01,0800748111,1,2000000,no
203cb4f2-8f9c-4ded-8576-7ddb1ba45e4d,Emily Johnson,1965-07-07,2011-06-27,0673288116,1,2000000,no
59969d66-4af8-463e-9cb6-a04dff4782cf,Liam Williams,1978-02-22,2023-06-11,0871265771,10,10000000,no
70dabb85-c93e-4b4e-8c9e-d66d922b0316,Lucas Smith,1978-09-18,2019-03-29,0690805295,7,12000000,no
5c81ac08-127f-4763-8c6f-2ec067f05e23,Grace Williams,1981-12-24,2014-05-16,0698153437,4,10000000,no
f1f1d976-ed03-4fae-9665-28cb90746108,Liam Smith,1984-10-06,2013-06-05,0803175421,7,7000000,yes
807001b9-ebc9-4558-81c8-af6e4f210158,Evan Sinclair,1991-12-27,2013-05-20,0669337159,6,5000000,no
44ff9faa-9c8a-4a97-9106-b26664898006,Emily Palmer,1969-10-16,2018-06-04,0636888768,19,11000000,no
30e5285d-45e1-4422-887d-bb0989135772,Maya Johnson,1964-07-20,2017-01-08,0603193505,4,1000000,yes
57c2f194-bc2b-40dd-9c48-0f9fb6c95c37,Lucas Bennett,1985-04-01,2010-08-30,0857813378,3,2000000,no
d2bae41c-1f2d-49f7-aea6-4274e08c645d,Lucas Brown,1964-02-07,2018-06-13,0691706855,9,12000000,no
d688aa78-dd0d-47c4-ab88-9ca3f81fd6b5,Grace Taylor,1967-04-23,2022-01-24,0655906212,5,14000000,no
b94a0b46-5ca7-49be-b9ab-3f46e5995f72,Grace Hayes,1961-01-30,2013-09-04,0680636941,5,3000000,no
5749cf96-a453-4f5c-8331-511cf91b1d9d,Emily Torres,1992-08-29,2017-05-25,0660214747,2,5000000,no
d0dae206-90e5-46aa-b77a-c659da32b178,Maya Sinclair,1967-12-24,2020-09-02,0668105399,4,8000000,no
994928b6-dcb1-4069-aa81-223144ed37c1,Nathan Williams,1991-03-03,2012-09-14,0646551316,4,1000000,no
dc9e2dac-d417-4cbf-af7c-d83769239c84,Jordan Brown,1971-03-24,2020-11-13,0846267471,5,8000000,no
135e810b-ee7e-4da7-9fec-eb0007d124c3,Nathan Williams,1970-07-09,2019-04-10,0685176283,4,5000000,no
6cad6131-7669-422d-ab14-adb08f4e1648,Lucas Brown,1966-10-10,2022-09-24,0667625012,7,9000000,no
21ceb873-0be3-4782-9d4e-0cdd93f9a4bc,Olivia Taylor,1963-01-16,2018-11-07,0880126386,8,9000000,no
